symptoms_text,disease
"I’ve been experiencing  muscle_weakness,  stiff_neck,  swelling_joints and  movement_stiffness.",Arthritis
"I’ve been experiencing  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness and  painful_walking.",Arthritis
"I’ve been experiencing  muscle_weakness,  stiff_neck,  swelling_joints,  movement_stiffness and  painful_walking.",Arthritis
"I’ve been experiencing  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  headache,  nausea,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  nausea,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  spinning_movements and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  spinning_movements and  loss_of_balance.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  spinning_movements,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  vomiting,  headache,  nausea,  loss_of_balance and  unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve been experiencing  skin_rash,  pus_filled_pimples,  blackheads and  scurring.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples,  blackheads and  scurring.",Acne
"I’ve been experiencing  pus_filled_pimples,  blackheads and  scurring.",Acne
"I’ve been experiencing  skin_rash,  blackheads and  scurring.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples and  scurring.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples and  blackheads.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples,  blackheads and  scurring.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples and  blackheads.",Acne
"I’ve been experiencing  skin_rash,  pus_filled_pimples and  scurring.",Acne
"I’ve been experiencing  skin_rash,  blackheads and  scurring.",Acne
"I’ve been experiencing  burning_micturition,  bladder_discomfort,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  bladder_discomfort,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort and  foul_smell_of urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  bladder_discomfort,  foul_smell_of urine and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  burning_micturition,  bladder_discomfort and  continuous_feel_of_urine.",Urinary tract infection
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting and  small_dents_in_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails and  inflammatory_nails.",Psoriasis
"I’ve been experiencing  skin_rash,  high_fever,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  high_fever,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  high_fever,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  high_fever,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  high_fever,  blister and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  high_fever,  blister and  red_sore_around_nose.",Impetigo
"I’ve been experiencing  skin_rash,  high_fever,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing  skin_rash,  blister,  red_sore_around_nose and  yellow_crust_ooze.",Impetigo
"I’ve been experiencing itching,  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  nodal_skin_eruptions.",Fungal infection
"I’ve been experiencing  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  dischromic _patches.",Fungal infection
"I’ve been experiencing itching,  skin_rash and  nodal_skin_eruptions.",Fungal infection
"I’ve been experiencing itching,  skin_rash,  nodal_skin_eruptions and  dischromic _patches.",Fungal infection
"I’ve been experiencing  continuous_sneezing,  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  chills.",Allergy
"I’ve been experiencing  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  watering_from_eyes.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering and  chills.",Allergy
"I’ve been experiencing  continuous_sneezing,  shivering,  chills and  watering_from_eyes.",Allergy
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  vomiting and  cough.",GERD
"I’ve been experiencing  acidity,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  ulcers_on_tongue,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  vomiting,  cough and  chest_pain.",GERD
"I’ve been experiencing  stomach_pain,  acidity,  ulcers_on_tongue,  cough and  chest_pain.",GERD
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite and  abdominal_pain.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  vomiting,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain and  yellowing_of_eyes.",Chronic cholestasis
"I’ve been experiencing itching,  skin_rash,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  burning_micturition.",Drug Reaction
"I’ve been experiencing  skin_rash,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  stomach_pain,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  burning_micturition and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  spotting_ urination.",Drug Reaction
"I’ve been experiencing itching,  skin_rash,  stomach_pain and  burning_micturition.",Drug Reaction
"I’ve been experiencing  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain and  passage_of_gases.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases and  internal_itching.",Peptic ulcer diseae
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  high_fever.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  patches_in_throat,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  high_fever and  extra_marital_contacts.",AIDS
"I’ve been experiencing  muscle_wasting,  patches_in_throat and  high_fever.",AIDS
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  blurred_and_distorted_vision,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  obesity,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  excessive_hunger,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  fatigue,  weight_loss,  restlessness,  lethargy,  irregular_sugar_level,  blurred_and_distorted_vision,  obesity,  increased_appetite and  polyuria.",Diabetes 
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  dehydration.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  sunken_eyes,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  dehydration and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  vomiting,  sunken_eyes and  diarrhoea.",Gastroenteritis
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness and  family_history.",Bronchial Asthma
"I’ve been experiencing  fatigue,  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  cough,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  fatigue,  high_fever,  breathlessness,  family_history and  mucoid_sputum.",Bronchial Asthma
"I’ve been experiencing  headache,  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness and  loss_of_balance.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  chest_pain,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  dizziness,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  headache,  chest_pain,  loss_of_balance and  lack_of_concentration.",Hypertension 
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression and  visual_disturbances.",Migraine
"I’ve been experiencing  acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression and  irritability.",Migraine
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain and  dizziness.",Cervical spondylosis
"I’ve been experiencing  back_pain,  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  weakness_in_limbs,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  back_pain,  neck_pain,  dizziness and  loss_of_balance.",Cervical spondylosis
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  weakness_of_one_body_side.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  headache,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  weakness_of_one_body_side and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing  vomiting,  headache and  altered_sensorium.",Paralysis (brain hemorrhage)
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin and  abdominal_pain.",Jaundice
"I’ve been experiencing itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin and  dark_urine.",Jaundice
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea and  muscle_pain.",Malaria
"I’ve been experiencing  chills,  vomiting,  high_fever,  sweating,  headache,  nausea and  muscle_pain.",Malaria
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  high_fever,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  headache,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  loss_of_appetite,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  mild_fever,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  swelled_lymph_nodes,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing itching,  skin_rash,  fatigue,  lethargy,  high_fever,  headache,  loss_of_appetite,  mild_fever,  malaise and  red_spots_over_body.",Chicken pox
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise and  muscle_pain.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  chills,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  joint_pain,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  fatigue,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  high_fever,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
"I’ve been experiencing  skin_rash,  chills,  joint_pain,  vomiting,  fatigue,  headache,  nausea,  loss_of_appetite,  pain_behind_the_eyes,  back_pain,  malaise,  muscle_pain and  red_spots_over_body.",Dengue
